Заправочная станция Заправочная станция Lexmark Inktec Lmi 1026,,"
																							917р.																																",http://nix.dn.ua/rashodnie-materiali/zapravochnaya-stanciya-zapravochnaya-stanciya-lexmark-inktec-lmi-1026
"Лазерный картридж ColorWay CW-H285M; для Canon 725; Universal, Colorway, Black",,Нет цены,http://nix.dn.ua/rashodnie-materiali/lazernyj-kartridzh-colorway-cw-h285m-dlya-canon-725-universal-colorway-black
Лазерный картридж ColorWay CW-C725N; для Canon (725/212) LBP3010/LBP3100/LBP-6000; Univ. N,,Нет цены,http://nix.dn.ua/rashodnie-materiali/lazernyj-kartridzh-colorway-cw-c725n-dlya-canon-725212-lbp3010lbp3100lbp-6000-univ-n
Лазерный картридж Samsung MLT-D109S/SEE; для Samsung SCX-4300,,Нет цены,http://nix.dn.ua/rashodnie-materiali/lazernyj-kartridzh-samsung-mlt-d109ssee-dlya-samsung-scx-4300
Лазерный картридж Лазерный картридж ColorWay CW-H5949/7553N,,Нет цены,http://nix.dn.ua/rashodnie-materiali/lazernyj-kartridzh-lazernyj-kartridzh-colorway-cw-h59497553n
Геймпад DeTech NS3111; Black,,"
																							300р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-detech-ns3111-black
Геймпад DeTech NS3113A; Black,,"
																							350р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-detech-ns3113a-black
Геймпад Gembird JPD-ShockForce; Silver; USB,,"
																							400р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-gembird-jpd-shockforce-silver-usb
Геймпад Defender Game Master G2 (64258); USB; Black,,"
																							450р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-defender-master-g2-64258-usb-black
Геймпад Havit HV-G69; USB; Black (HV-G69),,"
																							600р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-havit-hv-g69-usb-black-hv-g69
Геймпад DeTech NS3120; Black,,"
																							750р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-detech-ns3120-black
Геймпад Cowboy NS3211; (двойной); Black,,"
																							750р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-cowboy-ns3211-dvojnoj-black-1
Геймпад Havit HV-G61 double USB Black,,"
																							1 100р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-havit-hv-g61-double-usb-black
Геймпад Defender GAME MASTER WIRELESS (64257),,"
																							1 200р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-defender-game-master-wireless-64257
Геймпад Acme GA-05; USB; Black,,"
																							1 300р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-acme-ga-05-usb-black
Геймпад Havit HV-G89W; USB; Black (HV-G89W),,"
																							1 550р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-havit-hv-g89w-usb-black-hv-g89w
Геймпад Defender X7 (64259); USB; Black,,"
																							1 900р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-defender-x7-64259-usb-black
 Геймпад Logitech Gamepad F310 (940-000135); USB; Dark Blue&Black,,"
																							2 600р.																																",http://nix.dn.ua/igrovie-ustrojstva/gejmpad-logitech-gamepad-f310-940-000135-usb-dark-blueblack
Геймпад Speedlink Torid Gamepad Wireless (SL-6576-BK); Black,,Нет цены,http://nix.dn.ua/igrovie-ustrojstva/gejmpad-speedlink-torid-gamepad-wireless-sl-6576-bk-black
Геймпад Defender Game Racer Classic (64250); USB; Black,,Нет цены,http://nix.dn.ua/igrovie-ustrojstva/gejmpad-defender-game-racer-classic-64250-usb-black
Чехол для электронной книги Чехол для PocketBook 606/616/617/627/628/632/633 Dark blue,,"
																							1 300р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/chehol-dlya-elektronnoj-knigi-chehol-dlya-pocketbook-616627
Чехол для электронной книги Чехол для PocketBook 614/615/624/626,,"
																							1 300р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/chehol-dlya-elektronnoj-knigi-chehol-dlya-pocketbook-614615624626
Чехол для электронной книги Чехол для PocketBook 606/616/617/627/628/632/633 Black,,"
																							1 300р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=201491
Чехол для электронной книги Чехол для PocketBook 606/616/627/628/632/633 Light blue,,"
																							1 350р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=201393
Чехол для электронной книги Чехол Aceline AC001PB для PocketBook 616/627/632,,"
																							1 350р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=197905
Электронная книга PocketBook 606  (PB606-E-RU),,"
																							8 990р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=196898
"Электронная книга PocketBook 617"" Black (PB617-P-RU)",,"
																							10 990р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/jelektronnaja-kniga-pocketbook-617-black-pb617-p-ru
Электронная книга PocketBook 614 Basic 2 White (PB614-D-CIS),,Нет цены,http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/elektronnaya-kniga-pocketbook-614-basic-2-white-pb614-d-cis
Электронная книга PocketBook 614 Basic 2 Grey (PB614-Y-CIS),,Нет цены,http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/elektronnaya-kniga-pocketbook-614-basic-2-grey-pb614-y-cis
Электронная книга BQ Poem Dark Red (BQ-R002),,Нет цены,http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/elektronnaya-kniga-bq-poem-dark-red-bq-r002
"Чехол для электронной книги Чехол для PocketBook универсальный 5-6""",,"
																							400р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/chehol-dlya-elektronnoj-knigi-chehol-dlya-pocketbook-universalnyj-5-6
Чехол для электронной книги Чехол для PocketBook 614/615/624/626 (Premium),,"
																							1 200р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari/chehol-dlya-elektronnoj-knigi-chehol-dlya-pocketbook-614615624626-premium
Чехол для электронной книги Чехол для PocketBook 616 + защитная пленка,,"
																							1 350р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=199691
Чехол для электронной книги Чехол для PocketBook 616/628 + защитная пленка,,"
																							1 350р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=200131
Чехол для электронной книги Чехол Shy bear для PocketBook 616 + защитная пленка,,"
																							1 400р.																																",http://nix.dn.ua/jelektronnie-knigi-i-aksessuari?product_id=199261
Крепление к LCD 14-27'' TZ13,,"
																							1 200р.																																",http://nix.dn.ua/televizori-i-aksessuari/kreplenie-k-lcd-14-27-tz13
Телевизор LCD 29'' LED Hitachi LD-32VZ07A,,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-29-led-hitachi-ld-32vz07a
Телевизор LCD 40'' LCD Philips 40PFL3078T/12; Black (40PFL3078T/12),,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-40-lcd-philips-40pfl3078t12-black-40pfl3078t12
"Телевизор LCD 32"" LED LG 32LK615B; Black",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-32-led-lg-32lk615b-black
Крепление к LCD 10-32'' iTech LCD-51B; Black,,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/kreplenie-k-lcd-10-32-itech-lcd-51b-black
"Телевизор LCD 39"" Direct LED LG 39LN548C",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-39-direct-led-lg-39ln548c
"Телевизор LCD 42"" LED LG 42LF550V***",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-42-led-lg-42lf550v
"Крепление к LCD до 42"" Logan LUNAR4",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/kreplenie-k-lcd-do-42-logan-lunar4
Телевизор LCD 32'' LED Philips 32PFL4308T/12; Black (32PFL4308T/12),,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-32-led-philips-32pfl4308t12-black-32pfl4308t12
Телевизор LCD 32'' LED LG 32LF580V***; Black,,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-32-led-lg-32lf580v-black
"Телевизор LCD 24"" LED Mystery MTV-2429LT2; White (MTV-2429LT2)",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-24-led-mystery-mtv-2429lt2-white-mtv-2429lt2
"Телевизор LCD 32"" LED LG 32LB570V",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-32-led-lg-32lb570v
Телевизор LCD 32'' LED LG 32LH570U; Black,,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-32-led-lg-32lh570u-black
"Телевизор LCD 42"" LED LG 42LB570V",,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-42-led-lg-42lb570v
Телевизор LCD 49'' LED LG 49UH651V***; Black,,Нет цены,http://nix.dn.ua/televizori-i-aksessuari/televizor-lcd-49-led-lg-49uh651v-black
Гарнитуры Nautilus N1 Black,,"
																							112р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/garnitury-nautilus-n1-black
Микрофон Perfeo ReQQ PF_A4423; mini jack 3.5 mm; 1.8m; Black,,"
																							200р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-perfeo-reqq-pf-a4423-mini-jack-35-mm-18m-black
Микрофон Sven MK-150; Black (MK-150),,"
																							250р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-sven-mk-150-black-mk-150
Наушники Sven E-110 (SV-016258),,"
																							250р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/naushniki-sven-e-110-sv-016258
Наушники Sven SEB-108,,"
																							250р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/naushniki-sven-seb-108
Наушники Sven E-107 (SV-015404),,"
																							250р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/naushniki-sven-e-107-sv-015404
Гарнитура Smartbuy EZ-TALK SBH-5000; Black (SBH-5000),,"
																							300р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/garnitura-smart-buy-ez-talk-sbh-5000-black-sbh-5000
Гарнитура Perfeo (PF-CHAT-BLK); Black,,"
																							300р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/garnitura-perfeo-pf-chat-blk-black
Микрофон Perfeo ReQQ M3 (PF_A4425); 50 - 16000 Гц; 58 +/-3 дБ; 1.8m; mini jack 3.5 mm; Black,,"
																							350р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-perfeo-reqq-m3-pf-a4425-50-16000-gc-58-3-db-18m-mini-jack-35-mm-black
Наушники Sven E-130 (SV-017798),,"
																							387р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/naushniki-sven-e-130-sv-017798
Микрофон DeTech DT-M205; Black (DT-M205),,"
																							400р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-detech-dt-m205-black-dt-m205
Микрофон DeTech DT-M309; Silver (DT-M309),,"
																							400р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-detech-dt-m309-silver-dt-m309
Гарнитура DeTech DT-460; Black&Silver,,"
																							450р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/garnitura-detech-dt-460-blacksilver
Микрофон Sven MK-390; Black (MK-390),,"
																							450р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/mikrofon-sven-mk-390-black-mk-390
Гарнитура Xiaomi Piston Fresh (ZBW4354TY),,"
																							600р.																																",http://nix.dn.ua/garnituri-naushniki-i-mikrofoni/garnitura-xiaomi-piston-fresh-zbw4354ty
Patch-кабель (TT0506.05) UTP RJ-45 кат. 5e; 0.5 м,,"
																							70р.																																",http://nix.dn.ua/kabel1/patch-kabel-tt050605-utp-rj-45-kat-5e-05-m
"Кабель Patch-кабель RJ-45 кат. 5e; экранированый, 1.5 м (синий)",,"
																							80р.																																",http://nix.dn.ua/kabel1/kabel-patch-kabel-rj-45-kat-5e-ekranirovanyj-15-m-sinij
Patch-кабель (TT0506.1) UTP RJ-45 кат. 5e; 1.0 м,,"
																							80р.																																",http://nix.dn.ua/kabel1/patch-kabel-tt05061-utp-rj-45-kat-5e-10-m
"Кабель USB 2.0; AM-BM (для принтера, черный); 1.8м",,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-usb-20-am-bm-dlya-printera-chernyj-18m
Patch-кабель (TT0506.2) UTP RJ-45 кат. 5e; 2.0 м,,"
																							100р.																																",http://nix.dn.ua/kabel1/patch-kabel-tt05062-utp-rj-45-kat-5e-20-m
"Кабель S-ATAIII (данных); 0,40-0.50m (SATA-DATA 7pin-7pin, с защелками)",,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-s-ataiii-dannyh-050m-sata-data-7pin-7pin-s-zashelkami
Кабеля Belsis USB 2.0; A розетка - USB Mini B (5P) вилка; Belsis Multimedia; 0.5 м; (BW1422),,"
																							100р.																																",http://nix.dn.ua/kabel1/kabelya-belsis-usb-20-a-rozetka-usb-mini-b-5p-vilka-belsis-multimedia-05-m-bw1422
"Кабель USB 2.0 to micro USB; 1.0m.,  ARUN",,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-usb-20-to-micro-usb-10m-2a-arun
Кабель USB 2.0; AM-AF (соединительный); 0.5м; Black,,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-usb-20-am-af-soedinitelnyj-05m-black
Кабель аудио; 1.0 м; Jack 3.5 mm вилка - Jack 3.5 вилка; ,,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-audio-10-m-jack-35-mm-vilka-jack-35-vilka
Кабель Patch-кабель (TT0506.1.5) UTP RJ-45 кат. 5e; 1.5 м,,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-patch-kabel-tt050615-utp-rj-45-kat-5e-15-m
Кабель USB 2.0; AM-AF (соединительный); 1м; Black,,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-usb-20-am-af-soedinitelnyj-1m-black
Кабель USB 2.0; A вилка - micro USB вилка; (с ф/фильтром); Belsis Multimedia; 1.8 м; (BW1431),,"
																							100р.																																",http://nix.dn.ua/kabel1/kabel-usb-20-a-vilka-micro-usb-vilka-s-ffiltrom-belsis-multimedia-18-m-bw1431
Кабель стерео-аудио; Jack 3.5 mm вилка - Jack 3.5 розетка; (удлинитель); Sparks Nickel; 3.0 м (SN1033),,"
																							150р.																																",http://nix.dn.ua/kabel1/kabel-stereo-audio-jack-35-mm-vilka-jack-35-rozetka-udlinitel-sparks-nickel-30-m-sn1033
Кабель кабель питания 1.5м; (для блоков питания ноутбуков),,"
																							150р.																																",http://nix.dn.ua/kabel1/kabel-kabel-pitaniya-dellta-15m-dlya-blokov-pitaniya-noutbukov
Батарейка DeTech LR6  AM3 1.5V; Типоразмер AA,,"
																							25р.																																",http://nix.dn.ua/raznoe1/batarejka-detech-lr6-am3-15v-tiporazmer-aa
Батарейка DeTech LR03  AM4 1.5V; Типоразмер AAA,,"
																							25р.																																",http://nix.dn.ua/raznoe1/batarejka-detech-lr03-am4-15v-tiporazmer-aaa
"Диск DeTech DVD-R 4,7Gb/120min 16x bulk ",,"
																							30р.																																",http://nix.dn.ua/raznoe1/disk-detech-dvd-r-47gb120min-16x-bulk
Переходник с 3-pin на 4-pin (для вентиляторов),,"
																							50р.																																",http://nix.dn.ua/raznoe1/perehodnik-s-3-pin-na-4-pin-dlya-ventilyatorov
 Батарейка для системной платы CR2032 3V,,"
																							50р.																																",http://nix.dn.ua/raznoe1/-49
Батарейка Duracell LR06; Типоразмер AA,,"
																							50р.																																",http://nix.dn.ua/raznoe1/batarejka-duracell-lr06-tiporazmer-aa
Фонарик USB ,,"
																							100р.																																",http://nix.dn.ua/raznoe1/fonarik-usb
 Батарейка для системной платы CR2032  3V; Maxell (Япония),,"
																							100р.																																",http://nix.dn.ua/raznoe1/batarejka-dlya-sistemnoj-platy-cr2032-3v-maxell-yaponiya
Переходник OTG; micro USB to USB; Black; 10cm;,,"
																							100р.																																",http://nix.dn.ua/raznoe1/perehodnik-otg-micro-usb-to-usb-black-10cm
Наклейки на клавиатуру,,"
																							100р.																																",http://nix.dn.ua/raznoe1/naklejki-na-klaviaturu-1
Смазка силиконовая ,,"
																							150р.																																",http://nix.dn.ua/raznoe1/smazka-silikonovaya
Переходник DVI to VGA,,"
																							150р.																																",http://nix.dn.ua/raznoe1/perehodnik-dvi-to-vga
Переходник OTG USB 2.0  to microUSB ,,"
																							150р.																																",http://nix.dn.ua/raznoe1/perehodnik-otg-usb-20-to-microusb
Переходник OTG USB 2.0  to TypeC ,,"
																							150р.																																",http://nix.dn.ua/raznoe1/perehodnik-otg-usb-20-to-typec
аудио; 0.2 м ;  Jack 3.5 mm розетка - 2xJack 3.5 вилка ; (CCA-418),,"
																							150р.																																",http://nix.dn.ua/raznoe1/audio-02-m-jack-35-mm-rozetka-2xjack-35-vilka-cca-418
Картридер Smartbuy SBR-713-K; Black,,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-smartbuy-sbr-713-k-black
Картридер SmartBuy SBR-717-W; USB 2.0; White,,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-smartbuy-sbr-717-w-usb-20-white
Картридер Perfeo micro SD/TF - USB 2.0 (PF-VI-R010),,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-perfeo-micro-sdtf-usb-20-pf-vi-r010
Картридер Smartbuy SBR-717-R; USB 2.0; Red,,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-smartbuy-sbr-717-r-usb-20-red
Картридер SmartBuy SBR-713-W; USB 2.0; White,,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-smartbuy-sbr-713-w-usb-20-white
Картридер Perfeo micro SD/TF - USB 2.0 (PF-VI-R013),,"
																							200р.																																",http://nix.dn.ua/aksessuari/kartrider-perfeo-micro-sdtf-usb-20-pf-vi-r013
USB разветвители (HUB) USB внешний DeTech DE-V1,,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-usb-vneshnij-detech-de-v1
USB разветвители (HUB) HUB USB 2.0; 4 порта Perfeo (PF-HYD-6098H),,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-hub-usb-20-4-porta-perfeo-pf-hyd-6098h
USB разветвители (HUB) Smart Buy ; HUB USB 2.0; 4 порта; (SBHA-408-K),,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-smart-buy-hub-usb-20-4-porta-sbha-408-k
USB разветвители (HUB) Smartbuy SBHA-408-W; HUB USB 2.0; 4 порта; White ,,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-smart-buy-hub-usb-20-4-porta-white-sbha-408-w
USB разветвители (HUB) HUB USB 2.0; 3 порта Perfeo (PF-VI-H024),,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-hub-usb-20-3-porta-perfeo-pf-vi-h024
USB разветвители (HUB) HUB USB 2.0; 4 порта Perfeo (PF-VI-H021),,"
																							350р.																																",http://nix.dn.ua/aksessuari/usb-razvetviteli-hub-hub-usb-20-4-porta-perfeo-pf-vi-h021
Bluetooth и Infrared адаптер CSR 4.0,,"
																							400р.																																",http://nix.dn.ua/aksessuari/bluetooth-i-infrared-adapter-csr-40
Сетевой фильтр 5 евро-розеток 1.8 м; для ИБП; DeTech (DT-SPN05-10-1.8MC14),,"
																							450р.																																",http://nix.dn.ua/aksessuari/setevoj-filtr-5-evro-rozetok-18-m-dlya-ibp-detech-dt-spn05-10-18mc14
USB разветвитель (HUB) Smartbuy SBRH-750-B ,,"
																							450р.																																",http://nix.dn.ua/aksessuari/usb-razvetvitel-hub-smartbuy-sbrh-750-b
ИБП DeTech E650VA,,"
																							3 700р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-detech-e650va
ИБП Powercom RPT-600A,,"
																							4 500р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-600a
ИБП DeTech E850VA; (510W),,"
																							4 990р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-detech-e850va-510w-battery-1x70ah-12v-usb-rj-45
ИБП Powercom RPT-800A,,"
																							5 900р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-800a
ИБП Powercom Raptor RPT-600AP,,"
																							3 600р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-600ap
ИБП Powercom RPT-800AP,,"
																							4 990р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-800ap
ИБП Eaton 9130 1000VA (103006434-6591),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-eaton-9130-1000va-103006434-6591
ИБП Eaton 5E 1500VA USB (5E1500IUSB),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-eaton-5e-1500va-usb-5e1500iusb
ИБП PrologiX Standart 650 (Standart 650),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-prologix-standart-650-standart-650
ИБП APC Smart-UPS SC 620VA (SC620I),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-smart-ups-sc-620va-sc620i
ИБП Mustek PowerMust 424 EG (98-LIC-G0424),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-mustek-powermust-424-eg-98-lic-g0424
ИБП APC Back-UPS 1400VA (BX1400UI),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-back-ups-1400va-bx1400ui
ИБП APC Back-UPS RS 550VA (BR550GI),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-back-ups-rs-550va-br550gi
ИБП Mustek PowerMust 1590 LCD (98-LIC-C1590),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-mustek-powermust-1590-lcd-98-lic-c1590
ИБП FSP DPV 850 (PPF4801400),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-fsp-dpv-850-ppf4801400
Коврик Gembird MP-A1B1; Blue,,"
																							50р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-gembird-mp-a1b1-blue
Коврик ткань + резиновая основа (210x250),,"
																							100р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-tkan-rezinovaya-osnova-210x250
Коврик DeTech DCS1 ,,"
																							100р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-detech-dcs1
Коврик Razer Mantis; 200x250mm; прошитый (K11),,"
																							150р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-razer-mantis-200x250mm-proshityj-k11
"Коврик VS ""Фауна""",,"
																							150р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-vs-fauna
Коврик Gembird MP-N1,,"
																							150р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-gembird-mp-n1
Коврик Havit HV-MP839,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-havit-hv-mp839
Коврик DeTech DGS2 The avengers,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-detech-dgs2-the-avengers-1
Коврик Razer Goliathus; ткань; 250 х 290 мм;  прошитый,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-razer-goliathus-tkan-250-h-290-mm-proshityj
Коврик DeTech DGS3 Star wars 7,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-detech-dgs3-star-wars-7
Коврик Havit HV-MP838,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-havit-hv-mp838
Мышь проводная Smartbuy ONE SBM-214-K; USB; Black;,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/mysh-provodnaya-smartbuy-one-sbm-214-k-usb-black
Коврик DeTech DGS3 Dirt Bike,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-detech-dgs3-dirt-bike
"Коврик DeTech DGS2 Team Fortress 2, размер 250х210х3 мм",,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-detech-dgs2-team-fortress-2-razmer-250h210h3-mm
Коврик Havit HV-MP837; 250x215x3mm,,"
																							200р.																																",http://nix.dn.ua/klaviaturi-i-mishki/kovrik-havit-hv-mp837-200x250x3mm
"Монитор 21.5"" *VA LG 22MP410-B",,"
																							8 900р.																																",http://nix.dn.ua/monitori/monitor-tft-215215va-lg-22mp410-b
